,Source IP address,Source port number,Destination IP address,Destination port number,Transaction protocol,"Indicates to the state and its dependent protocol, e.g. ACC, CLO, CON, ECO, ECR, FIN, INT, MAS, PAR, REQ, RST, TST, TXD, URH, URN, and (-) (if not used state)",Record total duration,Source to destination transaction bytes ,Destination to source transaction bytes,Source to destination time to live value ,Destination to source time to live value,Source packets retransmitted or dropped ,Destination packets retransmitted or dropped,"http, ftp, smtp, ssh, dns, ftp-data ,irc  and (-) if not much used service",Source bits per second,Destination bits per second,Source to destination packet count ,Destination to source packet count,Source TCP window advertisement value,Destination TCP window advertisement value,Source TCP base sequence number,Destination TCP base sequence number,Mean of the ?ow packet size transmitted by the src ,Mean of the ?ow packet size transmitted by the dst ,Represents the pipelined depth into the connection of http request/response transaction,Actual uncompressed content size of the data transferred from the server’s http service.,Source jitter (mSec),Destination jitter (mSec),record start time,record last time,Source interpacket arrival time (mSec),Destination interpacket arrival time (mSec),"TCP connection setup round-trip time, the sum of ’synack’ and ’ackdat’.","TCP connection setup time, the time between the SYN and the SYN_ACK packets.","TCP connection setup time, the time between the SYN_ACK and the ACK packets.","If source (1) and destination (3)IP addresses equal and port numbers (2)(4)  equal then, this variable takes value 1 else 0",No. for each state (6) according to specific range of values for source/destination time to live (10) (11).,No. of flows that has methods such as Get and Post in http service.,If the ftp session is accessed by user and password then 1 else 0. ,No of flows that has a command in ftp session.,No. of connections that contain the same service (14) and source address (1) in 100 connections according to the last time (26).,No. of connections that contain the same service (14) and destination address (3) in 100 connections according to the last time (26).,No. of connections of the same destination address (3) in 100 connections according to the last time (26).,No. of connections of the same source address (1) in 100 connections according to the last time (26).,No of connections of the same source address (1) and the destination port (4) in 100 connections according to the last time (26).,No of connections of the same destination address (3) and the source port (2) in 100 connections according to the last time (26).,No of connections of the same source (1) and the destination (3) address in in 100 connections according to the last time (26).,"The name of each attack category. In this data set , nine categories e.g. Fuzzers, Analysis, Backdoors, DoS Exploits, Generic, Reconnaissance, Shellcode and Worms",0 for normal and 1 for attack records
284,175.45.176.0,26446,149.171.126.18,110,tcp,FIN,1.176028,1218,69588,62,252,7,33,pop3,7972.599121,466417.4688,26,68,255,255,1804185816,445829313,47,1023,0,0,2395.072048,1392.064491,2015-01-22 12:34:10,1421930051,47.04112,16.799493,0.037399,0.017562,0.019837,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
285,175.45.176.0,51119,149.171.126.15,80,tcp,FIN,0.187843,784,13990,62,252,2,6,http,30067.66406,558594.1875,10,16,255,255,425062087,3621598151,78,874,1,6436,1103.967273,1284.282278,2015-01-22 12:34:20,1421930060,20.871444,11.855933,0.051032,0.006635,0.044397,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
286,175.45.176.3,19322,149.171.126.13,80,tcp,FIN,0.196269,846,15820,62,252,2,7,http,31059.41211,609041.625,10,18,255,255,1109504135,3210928747,85,879,1,7296,1137.065415,1235.545533,2015-01-22 12:34:31,1421930071,21.807667,10.765353,0.053619,0.00818,0.045439,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
287,175.45.176.3,29115,149.171.126.12,80,tcp,FIN,0.453024,768,996,62,252,1,1,http,12220.10352,15398.74219,10,8,255,255,3692249402,4125626773,77,125,1,0,3433.876684,15.020159,2015-01-22 12:34:38,1421930079,50.336,12.555571,0.0,0.0,0.0,0,1,1,0,0,2,1,1,1,1,1,1,DoS,1
288,175.45.176.2,39926,149.171.126.19,80,tcp,FIN,0.229263,798,1206,62,252,2,2,http,25089.08984,36848.51172,10,8,255,255,1479297706,2709353358,80,151,1,204,1285.980716,43.919555,2015-01-22 12:34:51,1421930091,25.473667,24.422572,0.085968,0.039493,0.046475,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
289,175.45.176.0,17898,149.171.126.18,80,tcp,FIN,0.232371,786,920,62,252,2,2,http,24374.81445,27714.30078,10,8,255,255,205606285,659941046,79,115,0,0,1391.832329,55.788531,2015-01-22 12:35:11,1421930112,25.819,31.167857,0.054925,0.008239,0.046686,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
290,175.45.176.2,21015,149.171.126.15,80,tcp,FIN,0.346216,1398,2306,254,252,3,3,http,29623.12695,47970.05469,12,10,255,255,1826183847,3091441880,117,231,2,34,1652.991356,55.963016,2015-01-22 12:35:30,1421930130,31.474182,36.844223,0.053672,0.007846,0.045826,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
291,175.45.176.3,123,149.171.126.14,123,udp,INT,3e-06,78,0,254,0,0,0,-,104000000.0,0.0,2,0,0,0,0,0,39,0,0,0,0.0,0.0,2015-01-22 12:35:32,1421930132,0.003,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,DoS,1
292,175.45.176.1,47733,149.171.126.12,25,tcp,FIN,0.644773,4990,1130,254,252,7,6,smtp,58823.80078,13151.91504,20,16,255,255,3649242951,888130554,250,71,0,0,1805.857432,48.939395,2015-01-22 12:35:35,1421930135,32.699579,42.404934,0.055703,0.008689,0.047014,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
293,175.45.176.0,19741,149.171.126.11,25,tcp,FIN,0.858848,19813,1922,254,252,14,8,smtp,179132.9844,17092.66406,34,22,255,255,712731697,215252155,583,87,0,0,1588.64241,45.172246,2015-01-22 12:35:51,1421930152,26.025698,40.613383,0.050159,0.005326,0.044833,0,1,0,0,0,1,1,1,2,1,1,1,DoS,1
294,175.45.176.1,36370,149.171.126.12,80,tcp,FIN,0.244656,840,8214,62,252,2,4,http,24720.42383,246223.2656,10,12,255,255,2483683361,1166414973,84,685,1,3601,1294.749854,1612.315706,2015-01-22 12:36:05,1421930166,27.184,20.615,0.067877,0.017188,0.050689,0,1,1,0,0,2,1,1,2,2,1,1,DoS,1
295,175.45.176.1,56568,149.171.126.18,25,tcp,FIN,1.408476,229755,2762,254,252,93,8,smtp,1298191.75,15335.72461,192,44,255,255,1906040160,5551163,1197,63,0,0,761.095158,37.949246,2015-01-22 12:36:27,1421930189,7.37422,32.321094,0.031767,0.017979,0.013788,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
296,175.45.176.1,41706,149.171.126.10,80,tcp,FIN,0.345233,818,2928,62,252,2,2,http,17078.32227,59368.60156,10,8,255,255,109232457,4127200043,82,366,0,0,2478.580944,86.46975,2015-01-22 12:36:29,1421930190,38.359222,44.877285,0.042525,0.025327,0.017198,0,1,0,0,0,2,1,1,1,1,1,1,DoS,1
297,175.45.176.1,23674,149.171.126.13,80,tcp,FIN,0.178186,1896,268,254,252,2,1,http,76639.01563,10056.90723,10,6,255,255,3351801368,2426825404,190,45,0,0,976.192331,58.469531,2015-01-22 12:36:32,1421930193,18.324667,34.149602,0.05225,0.007427,0.044823,0,1,0,0,0,2,1,1,1,1,1,1,DoS,1
298,175.45.176.1,24600,149.171.126.12,80,tcp,FIN,0.17691,770,1290,62,252,2,2,http,30478.77539,48612.28906,8,6,255,255,1927410942,3403471736,96,215,1,260,1236.94335,49.820277,2015-01-22 12:36:44,1421930204,25.156571,29.757801,0.061398,0.02811,0.033288,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
299,175.45.176.1,49445,149.171.126.19,25,tcp,FIN,0.925536,2076,1462,62,252,7,8,smtp,17053.90234,12006.0166,20,20,255,255,3317835458,3317400415,104,73,0,0,2322.272566,55.309617,2015-01-22 12:36:54,1421930215,48.71242,45.512949,0.086493,0.03917,0.047323,0,1,0,0,0,1,1,1,2,1,1,1,DoS,1
300,175.45.176.1,51550,149.171.126.12,631,tcp,FIN,0.266467,470,268,254,252,2,1,http,12699.50879,6725.035156,10,6,255,255,2842783653,2160012244,47,45,1,0,1464.940531,77.702086,2015-01-22 12:37:00,1421930220,26.993667,49.676801,0.076791,0.018072,0.058719,0,1,1,0,0,2,1,1,2,1,1,1,DoS,1
301,175.45.176.3,52918,149.171.126.15,143,tcp,FIN,1.219747,1270,52556,62,252,6,25,-,7988.541992,338319.3438,24,54,255,255,381212058,1638475303,53,973,0,0,2770.377848,1830.235748,2015-01-22 12:37:01,1421930222,53.03248,22.666529,0.103574,0.017778,0.085796,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
302,175.45.176.0,49310,149.171.126.11,3333,udp,INT,2e-06,98,0,254,0,0,0,-,196000000.0,0.0,2,0,0,0,0,0,49,0,0,0,0.0,0.0,2015-01-22 12:37:04,1421930224,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,2,1,1,1,1,1,1,DoS,1
303,175.45.176.3,44701,149.171.126.17,139,tcp,FIN,0.747709,2528,2268,254,252,7,7,-,25699.83789,22918.00781,20,18,255,255,2444856894,3663557850,126,126,0,0,1857.213542,50.322219,2015-01-22 12:37:37,1421930258,39.353106,43.464293,0.053183,0.007959,0.045224,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
304,175.45.176.2,0,149.171.126.17,0,ospf,INT,1.515474,1890,0,254,0,0,0,-,9739.527344,0.0,42,0,0,0,0,0,45,0,0,0,49.152195,0.0,2015-01-22 12:37:58,1421930280,36.962781,0.0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,2,2,2,2,DoS,1
305,175.45.176.2,0,149.171.126.17,0,ospf,INT,1.515474,1890,0,254,0,0,0,-,9739.527344,0.0,42,0,0,0,0,0,45,0,0,0,49.152195,0.0,2015-01-22 12:37:58,1421930280,36.962781,0.0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,2,2,2,2,DoS,1
306,175.45.176.2,0,149.171.126.17,0,ospf,INT,1.515474,1890,0,254,0,0,0,-,9739.527344,0.0,42,0,0,0,0,0,45,0,0,0,49.152195,0.0,2015-01-22 12:37:58,1421930280,36.962781,0.0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,2,2,2,2,DoS,1
307,175.45.176.2,0,149.171.126.17,0,ospf,INT,1.515474,1890,0,254,0,0,0,-,9739.527344,0.0,42,0,0,0,0,0,45,0,0,0,49.152195,0.0,2015-01-22 12:37:58,1421930280,36.962781,0.0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,2,2,2,2,DoS,1
308,175.45.176.0,17961,149.171.126.18,80,tcp,FIN,0.238911,754,1536,62,252,2,2,http,22736.5,45004.20703,10,8,255,255,1711775551,1496330975,75,192,0,0,1454.540906,57.226461,2015-01-22 12:38:01,1421930282,26.545667,31.992715,0.055819,0.008908,0.046911,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
309,175.45.176.1,55484,149.171.126.12,80,tcp,FIN,0.235583,850,1850,254,252,2,2,http,25978.10547,54978.5,10,8,255,255,2637435998,483716333,85,231,0,0,1407.62583,58.294266,2015-01-22 12:38:06,1421930287,26.175889,31.903285,0.055478,0.006872,0.048606,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
310,175.45.176.2,43735,149.171.126.15,80,tcp,FIN,0.192126,848,3984,62,252,2,3,http,31812.45508,149318.6719,10,10,255,255,1144718041,3658319490,85,398,1,1522,1109.933172,1711.90193,2015-01-22 12:38:18,1421930298,21.347333,20.015333,0.053738,0.006717,0.047021,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
311,175.45.176.2,8409,149.171.126.18,4569,udp,CON,0.150003,362,178,254,60,0,0,-,16906.32813,7146.523926,8,4,0,0,0,0,45,45,0,0,32.625574,32.489672,2015-01-22 12:38:58,1421930338,21.429,22.978666,0.0,0.0,0.0,0,3,0,0,0,1,1,1,1,1,1,1,DoS,1
312,175.45.176.0,24775,149.171.126.14,80,tcp,FIN,0.221489,1112,268,254,252,2,1,http,36155.29297,8090.695312,10,6,255,255,2292796798,1486338575,111,45,1,0,1203.651514,57.547145,2015-01-22 12:39:00,1421930340,23.812,37.018,0.059571,0.036382,0.023189,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
313,175.45.176.2,19939,149.171.126.18,25,tcp,FIN,1.151777,4537,1674,254,252,9,8,smtp,30200.28906,11050.75,24,20,255,255,4175495981,1178777228,189,84,0,0,2529.268345,68.563219,2015-01-22 12:39:07,1421930348,50.077261,58.766367,0.059932,0.034551,0.025381,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
314,175.45.176.3,19975,149.171.126.13,80,tcp,FIN,0.931726,790,932,62,252,2,2,http,6104.799316,7203.834961,10,10,255,255,2775982156,4120745053,79,93,1,14,6020.325944,166.687125,2015-01-22 12:39:31,1421930371,103.525111,91.779555,0.155502,0.104933,0.050569,0,1,1,0,0,2,2,1,1,1,1,1,DoS,1
315,175.45.176.2,59413,149.171.126.19,80,tcp,FIN,0.425561,1218,1070,254,252,2,2,http,20622.18945,17614.39648,10,8,255,255,2463766755,1637010407,122,134,1,98,2302.402493,76.50525,2015-01-22 12:40:01,1421930402,47.284556,49.770855,0.134317,0.076215,0.058102,0,1,1,0,0,2,1,1,2,2,1,1,DoS,1
316,175.45.176.2,57962,149.171.126.17,80,tcp,FIN,0.46118,774,1002,62,252,2,2,http,12090.72363,15213.14844,10,8,255,255,3763088787,1655936747,77,125,1,90,2588.677205,96.253484,2015-01-22 12:40:02,1421930402,51.242222,54.376715,0.144194,0.035695,0.108499,0,1,1,0,0,2,1,1,2,2,1,1,DoS,1
317,175.45.176.0,62043,149.171.126.13,5512,udp,INT,1.1e-05,518,0,254,0,0,0,-,188363632.0,0.0,2,0,0,0,0,0,259,0,0,0,0.0,0.0,2015-01-22 12:40:14,1421930414,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,2,1,1,2,1,1,1,DoS,1
318,175.45.176.3,62149,149.171.126.14,80,tcp,FIN,0.247461,832,268,254,252,2,1,http,24213.91602,7241.544922,10,6,255,255,468232649,141183968,83,45,1,0,1298.421799,62.731934,2015-01-22 12:40:19,1421930419,26.087778,42.042,0.075774,0.037241,0.038533,0,1,1,0,0,1,1,1,3,1,1,1,DoS,1
319,175.45.176.1,53244,149.171.126.10,25,tcp,FIN,1.057794,19845,1874,254,252,14,8,smtp,145676.7656,13530.04492,34,22,255,255,3004647480,1485596646,584,85,0,0,1916.155111,55.316492,2015-01-22 12:40:23,1421930424,32.05409,49.337383,0.058189,0.021708,0.036481,0,1,0,0,0,1,2,1,1,1,1,1,DoS,1
320,175.45.176.3,43224,149.171.126.14,21,tcp,FIN,0.545371,5848,462,254,252,3,2,ftp,78640.04688,5940.910156,12,8,255,255,506438096,424922282,487,58,0,0,2974.501942,85.319914,2015-01-22 12:40:47,1421930447,46.858092,70.832289,0.075471,0.049542,0.025929,0,1,0,0,0,1,1,1,2,1,1,1,DoS,1
321,175.45.176.1,23540,149.171.126.13,162,udp,INT,1e-05,136,0,254,0,0,0,snmp,54400000.0,0.0,2,0,0,0,0,0,68,0,0,0,0.0,0.0,2015-01-22 12:40:53,1421930453,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,3,2,1,1,1,DoS,1
322,175.45.176.3,42617,149.171.126.12,80,tcp,FIN,0.603246,878,1742,254,252,2,2,http,10489.91699,20794.17188,10,10,255,255,2537797322,427184048,88,174,1,425,4216.580345,104.249836,2015-01-22 12:41:06,1421930466,67.011111,57.831445,0.115411,0.082752,0.032659,0,1,1,0,0,2,1,1,2,1,1,1,DoS,1
323,175.45.176.3,45930,149.171.126.14,80,tcp,FIN,0.377471,806,2114,62,252,2,2,http,15386.61231,39208.30859,10,8,255,255,2375934134,651391146,81,264,1,635,2161.960371,68.728891,2015-01-22 12:41:09,1421930469,41.829222,45.80057,0.103776,0.056865,0.046911,0,1,1,0,0,2,1,1,3,1,1,1,DoS,1
324,175.45.176.1,15723,149.171.126.13,110,tcp,FIN,1.68625,1228,61084,62,252,7,29,pop3,5602.965332,285125.0,26,62,255,255,967503247,2182533254,47,985,0,0,3702.136704,2337.422098,2015-01-22 12:41:21,1421930483,67.449997,25.969409,0.130584,0.080073,0.050511,0,1,0,0,0,1,1,1,2,1,1,1,DoS,1
325,175.45.176.1,6033,149.171.126.12,143,tcp,FIN,1.169415,1010,3302,62,252,6,7,-,6526.340332,21337.16406,18,18,255,255,3678103367,2250728136,56,183,0,0,3355.729489,81.102398,2015-01-22 12:41:27,1421930488,68.789118,66.093297,0.099428,0.04516,0.054268,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
326,175.45.176.3,0,149.171.126.14,0,sctp,INT,6e-06,78,0,254,0,0,0,-,52000000.0,0.0,2,0,0,0,0,0,39,0,0,0,0.0,0.0,2015-01-22 12:41:40,1421930500,0.006,0.0,0.0,0.0,0.0,0,2,0,0,0,9,2,2,3,2,2,2,DoS,1
327,175.45.176.3,0,149.171.126.14,0,sctp,INT,6e-06,78,0,254,0,0,0,-,52000000.0,0.0,2,0,0,0,0,0,39,0,0,0,0.0,0.0,2015-01-22 12:41:40,1421930500,0.006,0.0,0.0,0.0,0.0,0,2,0,0,0,9,2,2,3,2,2,2,DoS,1
328,175.45.176.3,60308,149.171.126.12,110,tcp,FIN,1.637911,950,2616,62,252,7,8,pop3,4410.496094,12142.2959,20,20,255,255,692246750,662854138,48,131,0,0,4195.3067,96.130742,2015-01-22 12:41:54,1421930515,86.20584,83.164156,0.102277,0.057027,0.04525,0,1,0,0,0,1,1,1,2,1,1,1,DoS,1
329,175.45.176.2,4664,149.171.126.15,25,tcp,CON,59.994354,9779191,48052,254,252,3669,6,smtp,1303837.25,6401.802246,7340,1100,255,255,955442730,616445456,1332,44,0,0,1102.933823,73.850344,2015-01-22 12:41:02,1421930522,8.167236,54.53225,0.125634,0.06337,0.062264,0,4,0,0,0,1,1,4,1,1,1,1,DoS,1
330,175.45.176.1,29658,149.171.126.13,80,tcp,FIN,0.409213,758,1018,62,252,2,2,http,13352.45898,17418.80078,10,8,255,255,3267400358,414296190,76,127,1,105,2244.473227,68.86182,2015-01-22 12:42:09,1421930529,45.468111,52.191715,0.106689,0.043084,0.063605,0,1,1,0,0,1,2,1,1,1,1,1,DoS,1
331,175.45.176.0,22302,149.171.126.16,80,tcp,FIN,0.526623,1214,3972,62,252,3,3,http,16907.73047,54308.30078,12,10,255,255,4027476546,101716640,101,397,1,1024,2464.254861,80.868367,2015-01-22 12:42:16,1421930536,47.874817,54.790445,0.100075,0.032819,0.067256,0,1,1,0,0,1,1,1,1,1,1,1,DoS,1
332,175.45.176.2,4664,149.171.126.15,25,tcp,FIN,29.354485,4876926,23848,254,252,1812,2,smtp,1328747.125,6487.594727,3638,548,255,255,960185097,616445843,1341,44,0,0,976.065852,60.90425,2015-01-22 12:42:02,1421930551,8.09491,53.639977,0.125634,0.06337,0.062264,0,1,0,0,0,1,1,2,1,1,1,1,DoS,1
333,175.45.176.3,15971,149.171.126.10,38292,tcp,FIN,0.283184,1324,268,62,252,2,1,-,33674.21875,6328.041504,10,6,255,255,2880008493,3511750301,132,45,0,0,1406.995634,68.289094,2015-01-22 12:42:35,1421930556,26.220778,49.371199,0.100817,0.03632,0.064497,0,1,0,0,0,5,2,1,2,1,1,1,DoS,1
334,175.45.176.1,45756,149.171.126.19,53,udp,CON,0.056269,126,1146,254,60,0,0,dns,8956.974609,81465.8125,2,2,0,0,0,0,63,573,0,0,0.0,0.0,2015-01-22 12:42:48,1421930568,0.006,0.009,0.0,0.0,0.0,0,3,0,0,0,1,1,1,1,1,1,1,DoS,1
335,175.45.176.1,0,149.171.126.12,0,ip,INT,5e-06,180,0,254,0,0,0,-,144000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,4,2,3,3,3,2,2,DoS,1
336,175.45.176.1,0,149.171.126.12,0,ipnip,INT,5e-06,180,0,254,0,0,0,-,180000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,5,5,4,5,5,4,4,DoS,1
337,175.45.176.1,0,149.171.126.12,0,ggp,INT,5e-06,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,5,5,4,5,5,4,4,DoS,1
338,175.45.176.1,0,149.171.126.12,0,ip,INT,5e-06,180,0,254,0,0,0,-,144000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,4,2,3,3,3,2,2,DoS,1
339,175.45.176.1,0,149.171.126.12,0,ggp,INT,5e-06,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,5,5,4,5,5,4,4,DoS,1
340,175.45.176.1,0,149.171.126.12,0,ipnip,INT,5e-06,180,0,254,0,0,0,-,180000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:43:22,1421930602,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,5,5,4,5,5,4,4,DoS,1
341,175.45.176.2,6413,149.171.126.17,80,tcp,FIN,0.395431,800,11608,62,252,2,5,http,14566.38379,218070.9063,10,14,255,255,3399057148,356717696,80,829,0,0,2826.148174,2687.301809,2015-01-22 12:43:27,1421930608,43.936778,28.556768,0.041523,0.023419,0.018104,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
342,175.45.176.1,0,149.171.126.12,0,st2,INT,1.009718,360,0,254,0,0,0,-,2139.211182,0.0,4,0,0,0,0,0,90,0,0,0,475.973594,0.0,2015-01-22 12:43:42,1421930623,336.572656,0.0,0.0,0.0,0.0,0,2,0,0,0,3,2,2,2,2,2,2,DoS,1
343,175.45.176.1,0,149.171.126.12,0,st2,INT,1.009718,360,0,254,0,0,0,-,2139.211182,0.0,4,0,0,0,0,0,90,0,0,0,475.973594,0.0,2015-01-22 12:43:42,1421930623,336.572656,0.0,0.0,0.0,0.0,0,2,0,0,0,3,2,2,2,2,2,2,DoS,1
344,175.45.176.2,22641,149.171.126.18,110,tcp,FIN,0.798045,942,3192,62,252,7,8,pop3,8971.925781,30404.30078,20,20,255,255,1265392655,549601799,47,160,0,0,1981.143283,46.318133,2015-01-22 12:43:47,1421930628,42.002368,41.645156,0.050897,0.006087,0.04481,0,1,0,0,0,1,1,2,1,1,1,1,DoS,1
345,175.45.176.1,0,149.171.126.12,0,egp,INT,5e-06,180,0,254,0,0,0,-,144000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:04,1421930644,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,5,4,4,4,4,DoS,1
346,175.45.176.1,0,149.171.126.12,0,egp,INT,5e-06,180,0,254,0,0,0,-,144000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:04,1421930644,0.005,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,5,4,4,4,4,DoS,1
347,175.45.176.1,0,149.171.126.12,0,cbt,INT,1.038991,360,0,254,0,0,0,-,2078.940186,0.0,4,0,0,0,0,0,90,0,0,0,489.773031,0.0,2015-01-22 12:44:03,1421930644,346.330344,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,5,4,4,4,4,DoS,1
348,175.45.176.1,0,149.171.126.12,0,cbt,INT,1.038991,360,0,254,0,0,0,-,2078.940186,0.0,4,0,0,0,0,0,90,0,0,0,489.773031,0.0,2015-01-22 12:44:03,1421930644,346.330344,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,5,4,4,4,4,DoS,1
349,175.45.176.1,0,149.171.126.12,0,emcon,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,2,2,2,2,2,DoS,1
350,175.45.176.1,0,149.171.126.12,0,igp,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
351,175.45.176.1,0,149.171.126.12,0,xnet,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
352,175.45.176.1,0,149.171.126.12,0,nvp,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,8,6,2,2,2,2,2,DoS,1
353,175.45.176.1,0,149.171.126.12,0,igp,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
354,175.45.176.1,0,149.171.126.12,0,xnet,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
355,175.45.176.1,0,149.171.126.12,0,argus,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
356,175.45.176.1,0,149.171.126.12,0,bbn-rcc,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
357,175.45.176.1,0,149.171.126.12,0,chaos,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
358,175.45.176.1,0,149.171.126.12,0,pup,INT,1.1e-05,180,0,254,0,0,0,-,119999992.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.006,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
359,175.45.176.1,0,149.171.126.12,0,nvp,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
360,175.45.176.1,0,149.171.126.12,0,emcon,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
361,175.45.176.1,0,149.171.126.12,0,argus,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,2015-01-22 12:44:05,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,14,15,14,14,14,DoS,1
